# R.D. Deslattes, E.G. Kessler Jr., P. Indelicato, L. de Billy, E. Lindroth, J. Anton, J.S. Coursey, D.J. Schwab, C. Chang, R. Sukumar, K. Olsen, and R.A. Dragoset (2005), X-ray Transition Energies (version 1.2). [Online] Available: http://physics.nist.gov/XrayTrans [2009, May 22]. National Institute of Standards and Technology, Gaithersburg, MD. 
# Elements: All (Neon - Fermium)
# Transitions: All
# Energy Range: 0 eV - 200000 eV
# Sorted by Energy
# Downloaded: 22-May-2009
# Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Combined (eV)	Unc. (eV)	Vapor (eV)	Unc. (eV)	Blend	Ref.
Lu		L1N3	10512.0	1.9	10511.16	0.53						1d
Hf		L2N4	10512.9	1.6	10515.89	0.66						1d
Po	209	L3M3	10518.6	2.1								
Ir		L3N1	10522.0	3.3	10525.17	0.40						1d
Hf		L2N5	10526.26	0.65	10525.9	1.2						1d
As		KL3	10543.48	0.47	10543.2674	0.0081						3d
Re		L3 edge	10546.35	0.36	10531.1	1.3	10536.3	2.5				1d
Pb		L3M5	10551.2	1.2	10551.60	0.27						1d
Re		L1M4	10577.3	2.3	10577.07	0.67						1d
Os		L3N4	10580.0	2.1	10581.68	0.67						1d
Pt		L1M1	10583.9	3.2	10600.2	1.2						1d
Au		L2M2	10584.3	2.0	10589.5	1.3						1d
Ta		L2N1	10588.0	3.2	10570.6	1.3						1d
Os		L3N5	10596.08	0.56	10598.7	1.1						1d
Ra	226	L3M1	10624.1	2.1	10622.29	0.67						1d
Pt		L2M3	10627.4	2.1	10626.8	1.3						1d
Ir		L3N2	10634.3	3.4	10638.15	0.68						1d
Re		L1M5	10643.9	2.3	10643.45	0.54						1d
Hg		L2M1	10647.3	2.5	10651.4	1.4						1d
Lu		L1N4	10661.0	2.5	10667.3	1.2						1d
Lu		L1N5	10673.5	1.6	10678.3	1.2						1d
Ta		L2N2	10688.1	3.2	10674.04	0.87						1,57d
Ir		L2M4	10708.0	1.4	10708.35	0.41						1d
Fr	223	L3M2	10709.9	2.0								
Ir		L3N3	10717.60	0.91	10725.1	4.1						1d
Hf		L2N6	10718.95	0.75	10703.8	1.2						1d
Hf		L2N7	10721.18	0.78								
Bi	209	L3M4	10730.8	1.3	10731.06	0.14						1d
Hf		L1N1	10735.2	4.0								
Hf		L2 edge	10745.60	0.45	10735.875	0.020	10734.9	9.8				13d
Ta		L2N3	10750.59	0.90	10731.6	1.4						1d
Ir		L2M5	10783.6	1.4	10791.4	2.8						1d
At	210	L3M3	10798.4	2.1								
Os		L3N6	10819.2	1.3	10824.65	0.98					L3N6,7	1d
Os		L3N7	10822.4	1.3	10824.65	0.98					L3N6,7	1d
Hf		L1N2	10832.5	4.2	10833.64	0.70						1d
Bi	209	L3M5	10838.7	1.2	10838.94	0.28						1d
Pt		L3N1	10841.1	3.2	10841.88	0.70						1d
Pt		L1M2	10853.6	2.8	10854.41	0.70						1d
Lu		L1N6	10858.7	1.7								
Lu		L1N7	10860.6	1.7								
Ir		L1M3	10867.5	3.0	10867.54	0.42						1d
Ac	227	L3M1	10870.1	2.1								
Lu		L1 edge	10877.2	1.4	10873.7	1.4	10871.7	2.1				1d
Os		L3 edge	10884.14	0.37	10868.0	1.4	10875.6	2.2				1d
Hf		L1N3	10890.5	1.9	10890.83	0.71						1d
Ir		L3N4	10899.2	2.4	10903.67	0.43						1d
Ir		L3N5	10915.91	0.69	10920.47	0.43						1d
Ta		L2N5	10923.97	0.65	10906.84	0.77						1,57d
Ge		KM1	10924.0	1.3								
Au		L1M1	10928.7	3.2	10921.15	0.71						1d
Hg		L2M2	10929.8	2.0	10888.1	7.1						1d
Os		L1M4	10935.3	2.3	10937.72	0.71						1d
W		L2N1	10950.1	3.3	10948.91	0.39						1,58d
Pt		L3N2	10956.9	3.3	10962.2	2.9						1d
Ra	226	L3M2	10961.4	2.1								
Ta		L2N4	10963.4	1.7	10895.33	0.43						1d
Ge		KM2	10979.4	1.3	10978.1	1.3						1d
Ge		KM3	10984.0	1.3	10982.19	0.29						1d
Au		L2M3	10990.0	2.1	10991.54	0.72						1d
Tl		L2M1	10994.2	2.5	10994.36	0.43						1d
Se		KL1	11003.49	0.84								
Os		L1M5	11006.2	2.3	11007.25	0.87						1d
Po	209	L3M4	11016.1	1.3	11015.95	0.72						1d
Hf		L1N4	11044.5	2.6	11045.2	1.3						1d
Pt		L3N3	11046.07	0.78	11044.2	2.9						1d
W		L2N2	11053.7	3.5	11045.20	0.96						1,60d
Hf		L1N5	11057.8	1.6	11055.4	1.3						1d
Pt		L2M4	11070.5	1.4	11070.84	0.29						1d
Ge		KM4	11074.59	0.63	11074.8	1.5					KM4,5	1d
Ge		KM5	11075.33	0.63	11074.8	1.5					KM4,5	1d
Rn	222	L3M3	11081.6	2.1								
Ge		KN1	11098.72	0.52								
Ge		KN3			11100.97	0.29					KN2,3	1d
Ge		KN2	11105.84	0.37	11100.97	0.29					KN2,3	1d
Ge		K edge	11113.82	0.16	11103.76	0.74	11103.63	0.55				1d
Th	232	L3M1	11117.7	2.1	11118.06	0.18						75d
W		L2N3	11120.32	0.90	11120.5	3.0						1d
Ta		L2N6	11124.17	0.77	11107.82	0.83						1,57d
Ta		L2N7	11126.71	0.80								
Po	209	L3M5	11130.3	1.2	11130.87	0.59						1d
Ta		L1N1	11131.6	4.1	11117.4	1.3						1d
Ir		L3N6	11146.8	1.4	11155.01	0.59					L3N6,7	1d
Ir		L3N7	11150.1	1.4	11155.01	0.59					L3N6,7	1d
Pt		L2M5	11150.8	1.4	11140.5	3.0						1d
Ta		L2 edge	11153.23	0.46	11132.5	1.5	11132.9	1.4				1d
Au		L3N1	11156.4	3.3	11160.33	0.45						1d
Se		KL2	11181.82	0.52	11181.53	0.31						3d
Au		L1M2	11204.8	3.0	11204.81	0.45						1d
Ac	227	L3M2	11214.6	2.1								
Ir		L3 edge	11221.01	0.38	11212.0	1.5	11216.7	2.2				1d
Se		KL3	11222.55	0.48	11222.52	0.12						3d
Ta		L1N2	11231.7	4.2	11217.1	1.5						1d
Pt		L3N4	11233.4	2.4								
Pt		L1M3	11234.4	3.0	11230.89	0.75						1d
Hf		L1N6	11250.5	1.7								
Pt		L3N5	11250.77	0.64	11250.66	0.45						1d
Hf		L1N7	11252.7	1.7								
Au		L3N2	11275.5	3.4	11274.4	1.1						1d
Hf		L1 edge	11277.2	1.4	11268.585	0.050	11270.3	2.5				13d
Hg		L1M1	11281.1	3.2	11272.1	3.0						1d
Tl		L2M2	11283.3	2.0	11274.2	1.5						1d
W		L2N4	11285.4	2.1	11286.00	0.46						1d
Ta		L1N3	11294.2	1.9	11277.68	0.61						1d
W		L2N5	11299.89	0.66								
Ir		L1M4	11301.9	2.3	11301.74	0.61						1d
At	210	L3M4	11305.2	1.3	11304.93	0.76						1d
Re		L2N1	11335.3	3.3	11334.18	0.77						1d
Pb		L2M1	11349.5	2.6	11349.4	1.1						1d
Hg		L2M3	11361.7	2.1	11357.9	7.7						1d
Pa	231	L3M1	11367.6	2.1	11366.2	1.5						1d
Fr	223	L3M3	11369.3	2.2								
Au		L3N3	11371.00	0.78	11371.8	1.1						1d
Ir		L1M5	11377.4	2.4	11377.13	0.77						1d
At	210	L3M5	11426.0	1.3	11426.94	0.78						1d
Re		L2N2	11441.2	3.3	11438.5	1.6						1d
Au		L2M4	11442.0	1.4	11442.45	0.47						1d
Ta		L1N5	11467.6	1.6	11458.1	1.1						1d
Th	232	L3M2	11469.3	2.1	11469.5	1.1						61d
Hg		L3N1	11483.5	3.2	11482.5	1.1						1d
Pt		L3N6	11489.5	1.3	11490.91	0.79					L3N6,7	1d
Pt		L3N7	11492.9	1.3	11490.91	0.79					L3N6,7	1d
W		L1N1	11505.8	4.2	11502.8	1.1						60d
Ta		L1N4	11507.0	2.7	11439.9	1.1						1d
W		L2N6	11507.48	0.79	11504.83	0.89						1,58d
W		L2N7	11510.08	0.78	11514.6	1.1						60d
Re		L2N3	11513.59	0.90	11515.0	1.6						1d
Au		L2M5	11527.2	1.3	11526.8	3.2						1d
W		L2 edge	11551.16	0.47	11538.6	1.6	11540.8	4.1				1d
Hg		L1M2	11563.7	3.0	11563.1	1.1						1d
Au		L3N4	11564.0	2.5	11566.81	0.80						1d
Pt		L3 edge	11573.11	0.38	11562.755	0.020	11565.7	3.8				13d
Au		L3N5	11582.12	0.57	11584.75	0.48						1d
Rn	222	L3M4	11598.1	1.3	11598.08	0.80						1d
Hg		L3N2	11606.1	3.4	11642.6	3.2						1d
W		L1N2	11609.4	4.4	11610.50	0.44						1,58d
Au		L1M3	11610.5	3.2	11610.5	1.4						1d
U	233	L3M1	11618.4	2.1								
U	238	L3M1	11618.5	2.1	11618.41	0.32						1d
Tl		L1M1	11641.9	3.2	11648.1	3.2						1d
Pb		L2M2	11645.1	2.1	11648.1	3.2						1d
Ra	226	L3M3	11660.4	2.2								
As		KM1	11663.0	1.3								
Ta		L1N6	11667.8	1.7								
Ta		L1N7	11670.4	1.8								
W		L1N3	11676.1	1.9	11680.49	0.73						1,58d
Pt		L1M4	11677.6	2.3	11676.3	1.1						1d
Re		L2N4	11683.8	2.1	11685.53	0.82						1d
Br		KL1	11692.04	0.88								
Ta		L1 edge	11696.9	1.4	11682.1	1.6	11679.8	3.3				1d
Re		L2N5	11699.29	0.67								
Hg		L3N3	11708.73	0.79	11713.0	1.6						1d
Bi	209	L2M1	11712.7	2.5	11712.36	0.49						1d
As		KM2	11721.6	1.2	11719.86	0.84						1,3d
Rn	222	L3M5	11725.9	1.2	11727.09	0.82						1d
Pa	231	L3M2	11726.4	2.1								
As		KM3	11727.1	1.2	11725.73	0.37						1,3d
Os		L2N1	11730.6	3.3	11730.42	0.82						1d
Tl		L2M3	11742.9	2.2	11739.7	1.2						1d
Pt		L1M5	11757.9	2.3	11756.79	0.22						76d
Tl		L3N1	11811.7	3.3	11812.00	0.83						1d
Hg		L2M4	11822.7	1.4	11822.70	0.83						1d
As		KM4	11825.05	0.64	11821.4	1.7					KM4,5	1d
As		KM5	11825.89	0.65	11821.4	1.7					KM4,5	1d
Au		L3N6	11828.7	1.4	11835.80	0.84					L3N6,7	1d
Au		L3N7	11832.3	1.4	11835.80	0.84					L3N6,7	1d
Os		L2N2	11839.7	3.3								
W		L1N4	11841.2	3.0	11843.9	3.3						1d
W		L1N5	11855.6	1.6	11861.9	1.1						1,58d
As		KN1	11858.67	0.77								
As		KN3	11866.38	0.23	11864.34	0.50					KN2,3	1d
As		KN2	11867.94	0.64	11864.34	0.50					KN2,3	1d
Np	237	L3M1	11870.8	2.1	11885.6	9.1						1,64d
As		K edge	11876.74	0.18	11864.3	1.7	11867.15	0.85				1d
Br		KL2	11877.69	0.53	11877.75	0.34						1d
Fr	223	L3M4	11895.0	1.3	11895.07	0.84						1d
Re		L1N1	11903.6	4.2	11898.5	1.7						1d
Hg		L3N4	11907.0	2.5	11904.1	1.2						1d
Hg		L2M5	11913.2	1.3								
Re		L2N6	11914.7	1.3	11916.8	1.7						1d
Os		L2N3	11917.40	0.90	11924.47	0.85						1d
Re		L2N7	11917.7	1.4								
Br		KL3	11924.02	0.48	11924.36	0.34						1d
Hg		L3N5	11926.33	0.58	11924.2	1.2						1d
Au		L3 edge	11927.78	0.39	11919.694	0.060	11920.6	3.0				13d
Tl		L1M2	11931.0	3.0	11930.78	0.51						1d
Tl		L3N2	11938.0	3.5								
Ac	227	L3M3	11955.4	2.2								
Re		L2 edge	11969.17	0.47	11954.7	1.7	11959.6	2.3				1d
U	233	L3M2	11984.6	2.1								
U	238	L3M2	11984.6	2.1	11983.5	1.5						1,62d
Hg		L1M3	11995.6	3.1	11995.4	1.2						1d
Re		L1N2	12009.5	4.3	12009.95	0.86						1d
Pb		L1M1	12011.1	3.3	12010.3	3.4						1d
Bi	209	L2M2	12015.1	2.1	11984	15						1d
Fr	223	L3M5	12029.9	1.3	12031.40	0.86						1d
Tl		L3N3	12047.5	2.7	12053.5	1.7						1d
Au		L1M4	12062.6	2.4	12061.8	1.2						1d
W		L1N6	12063.2	1.8								
W		L1N7	12065.8	1.7								
Re		L1N3	12081.9	1.9	12082.5	1.2						1d
Po	209	L2M1	12084.7	2.5								
Os		L2N4	12093.3	2.2	12095.48	0.87						1d
W		L1 edge	12106.9	1.4	12099.73	0.87	12102.4	4.1				1d
Os		L2N5	12109.35	0.67								
Pu	239	L3M1	12124.6	2.1	12124.2	1.8						1d
Pu	244	L3M1	12124.7	2.1								
Ir		L2N1	12130.4	3.4	12134.31	0.88						1d
Pb		L2M3	12133.7	2.2	12127.8	1.8						1d
Pb		L3N1	12144.3	3.2	12143.2	1.8						1d
Au		L1M5	12147.8	2.4	12147.6	1.2						1d
Hg		L3N6	12180.6	1.4	12182.7	1.2						1d
Hg		L3N7	12184.7	1.4	12194.1	1.2						1d
Ra	226	L3M4	12195.7	1.3	12196.26	0.89						1d
Tl		L2M4	12212.9	1.4	12213.44	0.71						1d
Ir		L2N2	12242.7	3.5	12251.2	3.6						1d
Np	237	L3M2	12242.9	2.1	12247	22						64d
Tl		L3N4	12251.6	2.6	12251.10	0.54						1d
Re		L1N4	12252.1	3.0	12252.4	1.8						1d
Th	232	L3M3	12254.0	2.2	12255.98	0.96						1,61d
Re		L1N5	12267.6	1.6	12265.8	1.8						1d
Tl		L3N5	12272.1	2.5	12271.71	0.54						1d
Pb		L3N2	12274.0	3.5	12270.6	1.3						1d
Hg		L3 edge	12292.28	0.39	12286.4	1.8	12285.5	3.7				1d
Pb		L1M2	12306.7	3.1	12305.9	1.8						1d
Tl		L2M5	12309.0	1.4	12309.36	0.90						1d
Os		L1N1	12311.6	4.2								
Ir		L2N3	12326.0	1.0	12331.6	5.4						1d
Os		L2N6	12332.5	1.4	12336.5	3.6						1d
Os		L2N7	12335.7	1.4								
Ra	226	L3M5	12338.1	1.3	12339.86	0.91						1d
Am	241	L3M1	12379.0	2.1	12378.2	1.4						1,66d
Am	243	L3M1	12379.0	2.1								
Bi	209	L1M1	12388.5	3.2	12392	16						1d
Tl		L1M3	12390.6	3.2	12390.55	0.55						1d
Pb		L3N3	12391.8	2.7	12392.0	1.8						1d
Po	209	L2M2	12393.8	2.1								
Os		L2 edge	12397.42	0.48	12380.9	1.8	12388.68	0.71				1d
Kr		KL1	12402.57	0.92								
Os		L1N2	12420.7	4.3	12422.46	0.92						1d
Se		KM1	12427.9	1.3								
Hg		L1M4	12456.6	2.4	12456.97	0.52						76d
At	210	L2M1	12465.3	2.5								
Bi	209	L3N1	12481.4	3.3	12481.74	0.56						1d
Re		L1N6	12483.0	2.3								
Re		L1N7	12486.0	2.3								
Se		KM2	12490.3	1.2	12489.73	1.00						1,3d
Se		KM3	12496.5	1.2	12496.03	0.67						1,3d
Os		L1N3	12498.4	1.9	12499.98	0.93						1d
Ac	227	L3M4	12500.2	1.3	12500.99	0.93						1d
Pu	239	L3M2	12505.4	2.1	12506.4	3.9						65d
Pu	244	L3M2	12505.4	2.1								
Ir		L2N4	12507.6	2.5	12512.72	0.56						1d
Ir		L2N5	12524.29	0.81								
Tl		L3N6	12533.9	1.5	12538.7	1.9					L3N6,7	1d
Bi	209	L2M3	12534.6	2.3	12534.48	0.94						1d
Re		L1 edge	12537.5	1.4	12531.1	1.9	12527.8	2.7				1d
Tl		L3N7	12538.3	1.4	12538.7	1.9					L3N6,7	1d
Hg		L1M5	12547.1	2.3	12547.52	0.29						76d
Pt		L2N1	12549.6	3.4	12552.6	3.8						1d
Pa	231	L3M3	12557.6	2.3								
Kr		KL2	12595.58	0.54	12595.424	0.056						3d
Pb		L3N4	12600.9	2.5	12601.2	1.3						1d
Se		KM4	12601.47	0.68	12596.0	1.9					KM4,5	1d
Se		KM5	12602.42	0.67	12596.0	1.9					KM4,5	1d
Pb		L2M4	12613.0	1.5	12613.80	0.57						1d
Bi	209	L3N2	12615.0	3.7	12615.21	0.95						1d
Pb		L3N5	12623.0	2.4	12622.8	1.3						1d
Cm	245	L3M1	12633.8	2.1								
Cm	248	L3M1	12633.9	2.1								
Se		KN1	12645.7	1.1								
Kr		KL3	12648.00	0.49	12648.002	0.052						3d
Ac	227	L3M5	12650.5	1.3	12652.16	0.96						1d
Se		KN3	12655.11	0.33	12652.29	0.96					KN2,3	1d
Se		KN2	12656.38	0.73	12652.29	0.96					KN2,3	1d
Tl		L3 edge	12664.38	0.40	12660.3	1.9	12657.5	3.3				1d
Pt		L2N2	12665.5	3.5	12661.6	3.8						1d
Se		K edge	12666.72	0.19	12654.61	0.19	12656.72	0.54				1d
Os		L1N4	12674.3	3.2	12687.5	5.8						1d
Os		L1N5	12690.3	1.6	12696.6	5.8						1d
Bi	209	L1M2	12690.9	3.1	12691.40	0.77						1d
Pb		L2M5	12714.8	1.4	12720.0	1.9						1d
Ir		L1N1	12724.2	4.4	12695.3	3.8						1d
Bi	209	L3N3	12740.6	2.7	12739.52	0.97						1d
Pt		L2N3	12754.62	0.91	12758.93	0.78						1d
Ir		L2N6	12755.2	1.5	12760.5	1.2						1d
Ir		L2N7	12758.5	1.6								
Am	241	L3M2	12767.5	2.1	12765.3	2.2						66d
Am	243	L3M2	12767.5	2.1								
Po	209	L1M1	12774.9	3.2								
At	210	L2M2	12781.4	2.2								
Pb		L1M3	12795.3	3.2	12793.4	1.4						1d
Th	232	L3M4	12808.5	1.3	12809.498	0.030						75d
Po	209	L3N1	12823.9	3.2	12818.7	3.9						1d
Ir		L2 edge	12829.38	0.50	12820.0	2.0	12824.8	2.4				1d
Ir		L1N2	12836.6	4.5	12841.92	0.59						1d
Rn	222	L2M1	12855.1	2.6								
Tl		L1M4	12860.6	2.4	12862.7	1.4						1d
U	233	L3M3	12864.9	2.3								
U	238	L3M3	12864.9	2.3	12865.45	0.81						1,62d
Bk	249	L3M1	12889.9	2.1	12896	43						70d
Bk	250	L3M1	12889.9	2.1								
Pb		L3N6	12892.6	1.5	12897.0	1.4					L3N6,7	1d
Pb		L3N7	12897.5	1.5	12897.0	1.4					L3N6,7	1d
Os		L1N6	12913.5	2.3								
Os		L1N7	12916.6	2.4								
Ir		L1N3	12919.9	2.0	12924.11	1.00						1d
Pt		L2N4	12942.0	2.5	12942.19	0.60						1d
Po	209	L2M3	12945.7	2.3								
Bi	209	L3N4	12955.7	2.7	12955.0	1.0						1d
Tl		L1M5	12956.6	2.3	12958.7	1.4						1d
Pt		L2N5	12959.33	0.76								
Po	209	L3N2	12961.3	3.7								
Th	232	L3M5	12967.0	1.3	12967.937	0.020						75d
Au		L2N1	12970.3	3.5	12974.43	0.60						1d
Os		L1 edge	12978.4	1.5	12971.6	2.0	12971.3	5.0				1d
Bi	209	L3N5	12979.2	2.5	12980.00	0.80						1d
Bi	209	L2M4	13022.9	1.5	13023.65	0.18						1d
Cm	245	L3M2	13030.0	2.1								
Cm	248	L3M2	13030.0	2.1								
Pb		L3 edge	13042.60	0.40	13035.064	0.030	13035.4	3.0				13d
Po	209	L1M2	13084.0	3.1	13085.2	6.1						1d
Au		L2N2	13089.4	3.5								
Po	209	L3N3	13095.6	2.7								
Ir		L1N4	13101.5	3.4	13107.3	4.1						1d
Ir		L1N5	13118.2	1.8	13125.4	4.1						1d
Pa	231	L3M4	13121.5	1.3	13122.3	1.0						1d
Bi	209	L2M5	13130.8	1.4	13131.1	1.0						1d
Rb		KL1	13135.18	0.93								
Cf	251	L3M1	13154.1	2.1	13141	14						72d
Cf	250	L3M1	13154.2	2.1	13145	14						71d
Cf	249	L3M1	13154.4	2.1								
Pt		L1N1	13156.7	4.3	13112.9	4.1						1d
At	210	L1M1	13170.1	3.2								
At	210	L3N1	13170.4	3.2								
Np	237	L3M3	13174.1	2.3	13173	21						64d
Rn	222	L2M2	13178.1	2.2								
Au		L2N3	13184.89	0.91	13186.8	4.2						1d
Pt		L2N6	13198.0	1.5	13199.3	1.0						1d
Pt		L2N7	13201.5	1.5								
Bi	209	L1M3	13210.4	3.2	13209.99	0.62						1d
Br		KM1	13218.6	1.3								
Fr	223	L2M1	13254.0	2.6								
Bi	209	L3N6	13256.2	1.5	13259.4	1.0					L3N6,7	1d
Bi	209	L3N7	13261.5	1.5	13259.4	1.0					L3N6,7	1d
Pt		L1N2	13272.5	4.4	13270.5	1.1						1d
Pb		L1M4	13274.6	2.4	13275.8	4.2						1d
Pt		L2 edge	13281.67	0.51	13271.894	0.030	13275.2	3.8				13d
Br		KM2	13284.8	1.2	13284.7	1.1						1d
Pa	231	L3M5	13288.7	1.3	13290.8	1.1						1d
Br		KM3	13292.1	1.2	13291.56	0.42						1d
Bk	249	L3M2	13293.7	2.1	13305	55						70d
Bk	250	L3M2	13293.7	2.1								
At	210	L3N2	13311.7	3.8								
Po	209	L3N4	13316.1	2.7	13314.3	4.2						1d
Rb		KL2	13335.75	0.56	13335.88	0.21						1d
Po	209	L3N5	13341.3	2.5	13340.5	1.1						1d
Ir		L1N6	13349.0	2.5								
Ir		L1N7	13352.4	2.5								
Pt		L1N3	13361.7	1.8	13361.5	1.1						1d
At	210	L2M3	13367.3	2.3								
Pb		L1M5	13376.3	2.4	13377.5	2.1						1d
Au		L2N4	13377.9	2.6	13381.79	0.64						1d
Rb		KL3	13395.05	0.51	13395.49	0.19						1d
Au		L2N5	13396.01	0.71								
Br		KM4	13403.97	0.70	13396.3	2.1					KM4,5	1d
Br		KM5	13405.04	0.70	13396.3	2.1					KM4,5	1d
Hg		L2N1	13408.1	3.4	13410.3	1.5						1d
Es	251	L3M1	13411.7	2.1								
Ir		L1 edge	13423.3	1.5	13423.8	2.2	13419	18				1d
Bi	209	L3 edge	13427.59	0.41	13426.7	2.2	13420.1	1.6				1d
U	233	L3M4	13438.2	1.4								
U	238	L3M4	13438.2	1.4	13438.97	0.19						1d
Po	209	L2M4	13443.2	1.5	13447.1	4.3						1d
At	210	L3N3	13455.4	2.6								
Br		KN1	13459.8	1.5								
Br		KN3	13470.84	0.41	13469.60	0.43					KN2,3	1d
Br		KN2	13471.50	0.71	13469.60	0.43					KN2,3	1d
Br		K edge	13483.86	0.19	13470.5	2.2	13474.10	0.65				1d
At	210	L1M2	13486.1	3.2								
Pu	239	L3M3	13490.8	2.3	13492.5	4.3						65d
Pu	244	L3M3	13490.8	2.3								
Rn	222	L3N1	13521.9	3.2								
Hg		L2N2	13530.8	3.6								
Pt		L1N4	13549.0	3.4								
Po	209	L2M5	13557.4	1.4								
Cf	251	L3M2	13565.6	2.1	13568	15						72d
Cf	250	L3M2	13565.8	2.1	13557.0	8.2						71d
Cf	249	L3M2	13566.0	2.1								
Pt		L1N5	13566.4	1.7	13560.4	4.4						1d
Rn	222	L1M1	13574.5	3.2								
Fr	223	L2M2	13584.0	2.2								
Au		L1N1	13590.8	4.3	13578.2	2.2						1d
U	233	L3M5	13614.5	1.3								
U	238	L3M5	13614.6	1.3	13614.87	0.20						1d
Po	209	L3N6	13626.0	1.5								
Po	209	L3N7	13631.7	1.5								
Hg		L2N3	13633.37	0.93	13640.3	1.6						1d
Po	209	L1M3	13635.8	3.3	13637.9	6.7						1d
Au		L2N6	13642.5	1.5	13648.9	1.1						1d
Au		L2N7	13646.2	1.5								
Ra	226	L2M1	13662.4	2.6	13663.2	1.1						1d
Rn	222	L3N2	13666.6	3.7								
Fm	254	L3M1	13668.8	2.1	13668	11						74d
At	210	L3N4	13681.3	2.7								
Bi	209	L1M4	13698.6	2.4	13698.87	0.32						76d
At	210	L3N5	13708.4	2.6								
Au		L1N2	13710.0	4.6	13709.70	0.67						1d
Au		L2 edge	13741.67	0.52	13734.194	0.070	13735.8	1.8				13d
Np	237	L3M4	13757.2	1.4	13759.84	0.20						1d
Rn	222	L2M3	13799.5	2.3								
Pt		L1N6	13805.0	2.4								
Au		L1N3	13805.4	2.0	13809.1	1.1						1d
Bi	209	L1M5	13806.6	2.4	13806.82	0.20						76d
Pt		L1N7	13808.5	2.4								
Am	241	L3M3	13809.2	2.3	13809.2	4.1						66d
Am	243	L3M3	13809.2	2.3								
Po	209	L3 edge	13818.74	0.42			13813.6	1.3				
Rn	222	L3N3	13820.6	2.7								
Es	251	L3M2	13831.1	2.1								
Hg		L2N4	13831.7	2.7	13830.2	1.1						1d
Hg		L2N5	13850.97	0.72								
Tl		L2N1	13852.8	3.4	13852.77	0.92						1d
At	210	L2M4	13874.1	1.5	13876.2	2.1						1d
Fr	223	L3N1	13877.3	3.1								
Pt		L1 edge	13888.7	1.4	13880.69	0.30	13879	21				13d
Sr		KL1	13889.75	0.96								
Rn	222	L1M2	13897.5	3.2								
Np	237	L3M5	13943.0	1.3	13944.26	0.21						1d
Tl		L2N2	13979.1	3.7	14057	47						1d
Fr	223	L1M1	13988.5	3.3								
At	210	L2M5	13994.9	1.4								
Au		L1N4	13998.5	3.6	13999.3	1.6						1d
Ra	226	L2M2	13999.7	2.3								
At	210	L3N6	14000.7	1.6								
At	210	L3N7	14007.0	1.6								
Au		L1N5	14016.6	1.8	14019.9	1.6						1d
Fr	223	L3N2	14026.6	3.8								
Kr		KM1	14034.9	1.2								
Hg		L1N1	14042.0	4.3	14045.8	4.7						1d
Rn	222	L3N4	14051.5	2.6								
At	210	L1M3	14072.0	3.3	14067.3	2.1						1d
Rn	222	L3N5	14080.3	2.4								
Ac	227	L2M1	14080.7	2.6								
Pu	239	L3M4	14083.4	1.4	14084.42	0.47						1d
Pu	244	L3M4	14083.4	1.4								
Tl		L2N3	14088.6	2.9	14089.5	1.2						1d
Fm	254	L3M2	14095.9	2.1	14089.0	9.9						74d
Sr		KL2	14098.01	0.57	14098.03	0.24						1d
Hg		L2N6	14105.2	1.6	14107.3	1.7						1d
Kr		KM2	14105.7	1.3	14104.96	0.11						3d
Hg		L2N7	14109.3	1.6								
Kr		KM3	14113.3	1.2	14112.815	0.080						3d
Cm	245	L3M3	14131.2	2.4								
Cm	248	L3M3	14131.2	2.4								
Po	209	L1M4	14133.3	2.5								
Hg		L1N2	14164.7	4.6	14162.3	1.7						1d
Sr		KL3	14164.80	0.51	14165.20	0.24						1d
Fr	223	L3N3	14190.6	2.6								
At	210	L3 edge	14216.04	0.45								
Hg		L2 edge	14216.92	0.53	14214.9	2.4	14212.2	4.3				1d
Kr		KM4	14232.63	0.72	14237.7	4.8					KM4,5	1d
Kr		KM5	14233.88	0.72	14237.7	4.8					KM4,5	1d
Ra	226	L3N1	14237.3	2.9	14236.4	1.2						1d
Fr	223	L2M3	14243.4	2.4								
Po	209	L1M5	14247.6	2.4								
Au		L1N6	14263.1	2.6								
Au		L1N7	14266.8	2.5								
Hg		L1N3	14267.2	1.9	14264.8	1.7						1d
Pu	239	L3M5	14279.1	1.3	14278.74	0.49						1d
Pu	244	L3M5	14279.1	1.3								
Tl		L2N4	14292.7	2.8	14291.58	0.73						1d
Kr		KN1	14301.2	2.0								
Pb		L2N1	14307.8	3.4	14307.6	1.2						1d
Tl		L2N5	14313.2	2.6								
Kr		KN2	14313.43	0.59	14315.0	2.4					KN2,3	1d
Kr		KN3	14314.10	0.58	14315.0	2.4					KN2,3	1d
Rn	222	L2M4	14316.0	1.5	14315.8	2.2						1d
Fr	223	L1M2	14318.5	3.3								
Kr		K edge	14328.06	0.20	14324.61	0.24	14327.19	0.13				1d
Kr		KN4			14328.2	4.9					KN4,5	1d
Kr		KN5			14328.2	4.9					KN4,5	1d
Au		L1 edge	14362.2	1.6	14355.29	0.50	14352.9	7.5				13d
Rn	222	L3N6	14380.7	1.6								
Rn	222	L3N7	14387.6	1.6								
Ra	226	L3N2	14391.4	4.0	14386.4	2.5						1d
Am	241	L3M4	14411.9	1.4	14412.09	0.22						1d
Am	243	L3M4	14411.9	1.4								
Ra	226	L1M1	14412.1	3.3								
Ac	227	L2M2	14425.2	2.3								
Fr	223	L3N4	14427.5	2.6								
